-18:46,しゅさいがわ！
22:13,あら？
22:14,あっ
22:15,絡みないな？w
22:16,あっさw
22:18,草
22:18,草
22:18,ㅋㅋㅋㅋㅋㅋ
22:20,あれ先輩？
22:21,あのねぇ、、、は草
22:21,のあちゃん！？
22:25,草
22:25,まさかぁ？
22:27,草
22:29,同じ箱なのにそんなわけw
22:31,おやぁ？
22:32,🤣🤣🤣👍
22:38,よろしく
22:38,ぶいすぽの闇だ
22:39,あれ…ぶいすぽ…？
22:39,入ったばっかりだしね
22:44,ゲームもうまくて可愛いしセクシーか
22:57,しもべになのに名前が963famとポタクなの笑う
23:03,시부하루 레이스 하겠지?
23:03,ばいばい
23:10,ヴァルキリー？
23:21,シブハルのジブみたい感ある
23:24,ヨワイゾン…
23:28,やっぱりヒューズしか勝たん
23:32,ファイティン！
23:36,飛べるブラハだもんなぁ
23:43,ホライゾン弱くなりすぎなんよ‥。
23:46,ファイト―！
23:48,がんばれー！
23:53,レヴオク！？
23:54,レヴオクだー！！
23:54,급전환하네 ㅋㅋㅋ
24:02,お、破壊？
24:02,がんはれ！！！
24:03,破壊しそうな構成
24:04,一時期よくみた構成だなｗ
24:07,レブオクだぁ！
24:07,破壊構成の親戚やん
24:09,攻め攻めだーー！！
24:11,レヴオクだ
24:13,なにさっぷえいむかな
24:13,fight!
24:13,ㅇ?
24:13,めちゃくちゃイケイケ編成
24:14,あれｗ
24:15,あれ？
24:15,あれｗ
24:15,レヴオクブラハ！！
24:15,?!!
24:17,あれ？ｗ
24:19,あきとさん！？w
24:19,破壊していく！
24:22,あれｗ
24:22,チャンピオン草
24:22,あきとさんボッチで草
24:23,レヴオク海賊王
24:23,草
24:25,強そう
24:25,ぼっちやん
24:25,1人ｗ
24:26,lol
24:28,GLHF
24:30,あれｗ
24:31,ボブ何とかエイムさんがね？？
24:34,あきとさん一人にｗ
24:34,綺麗
24:34,ソロ！？
24:34,軌道エグいねぇ
24:35,がんば！！
24:39,軌道がきれいだ
24:39,最近ボウですーぐかえされるだよなぁ…
24:45,色鮮やかできれい
24:46,マスター軌道お披露目だ
24:47,軌道きちゃー！！
24:47,軌道明るくなった？
24:52,マスター起動だあ
24:52,ダイヤ軌道きれいよね
24:53,落ちてないっぽいね
24:54,がんばれ～！
24:55,マスター軌道！！！
24:57,マスター軌道かっこいい！
24:57,중앙에 프데 양옆에 마스터...
24:59,보라색 좋네
25:00,マスター軌道いいねえ！
25:02,マスター軌道だ！
25:02,보라 !! 보라색 ! !
25:04,いつもの鉄骨
25:08,マスター軌道きちゃ
25:16,逆張りボラちゃん
25:17,普通にすーちゃんとか入ってるし、落ちてないね
25:17,マスター軌道！！！！！！！！！！！！
25:21,逆張りプリンセスおるな
25:22,逆張りボラ
25:26,マスターボラ！
25:41,ボラちゃんのお家、ウエスト
25:43,マスター軌道というよりボラカラーなのが好き
25:57,仕様上撃ち始めがね
26:06,ㅋㅋㅋㅋ
26:07,あらま
26:10,どまです
26:19,ワールズエッジバック少ない気がする
26:20,やっぱカバン全然落ちてないよね
26:30,ディスコとの相性もあるしなぁ
26:31,単純に相性が悪いのか
26:31,ＰＣ結構新しいのにね
26:42,相談したいね
26:44,相性がなあ
26:49,なんなんだろうな？
26:55,ぴえん
27:02,アップデートでバグってる可能性もね、4月にアプデあったし
27:09,弓も結局ウィングマンな気がする
27:24,弓持ってるとついつい近距離でもそのまま戦っちゃうｗ
27:34,弓同士の沼インファイ好きw
27:41,カバンマジで無いな
27:49,ボラちゃんowの民だし弓得意かと思た
28:02,いきなりゲスト同士か？
28:06,팀 뿌루뿌루
28:06,嘘ォ
28:33,今日もボラは可憐。
28:44,別ゲーｗ
28:49,한조 ㅋㅋ
28:50,ハンゾー
28:50,静かな戦闘になるよねｗ
28:52,🤣🤣🤣
28:53,狩猟解禁
28:53,ほんまそれww
28:53,ヴァロってんねぇ
28:56,音が欲しい\u3000
28:57,マイクラかな
28:57,銃じゃなくて弓の時代か
29:00,大戦国時代
29:01,弓強いもんねぇ
29:02,何気に渋ハルと組むのって珍しいな
29:03,笑笑(*´罒`*)
29:04,弓いきなり削られるからえぐかった
29:06,島田ハンゾーしかいない
29:10,ブラハで弓使ったらほぼハンゾー
29:18,弓一発70入るしな
29:23,はーい
29:30,ゴリラさんのヴァルキリーで爆笑した
29:30,レガシーってそういう意味だったのか...
29:31,やぶさめペックス
29:36,音も小さいし
29:39,減らねえｗ
